1,VID1,Banana,https://www.youtube.com/watch?v=zvHnlG43jkU,mainlogo.jpg,Published
2,VID2,Pechay,https://www.youtube.com/watch?v=Jf1npjko3AU,mainlogo.jpg,Published
3,VID3,Talong,https://www.youtube.com/watch?v=zvHnlG43jkU,mainlogo.jpg,Published
4,VID4,Cabbage,https://youtu.be/n8UrVGOLZLk?si=wLyFvmmOD13naIYk,mainlogo.jpg,Published
5,VID5,Carrot,https://youtu.be/V5He0pgnZng?si=pVB9YE5SpvecYMAS,mainlogo.jpg,Published
6,VID6,Cauliflower,https://youtu.be/zwlZglSINLA?si=p-VNXvuXZ3Pm_G-q,mainlogo.jpg,Published
7,VID7,Celery,https://youtu.be/Pb2DZ6hde7E?si=7ZdmgR5sNM1XifXD,mainlogo.jpg,Published
8,VID8,Chayote,https://youtu.be/tpUU87TAS2c?si=cVv5eGZXyEi-ggQl,mainlogo.jpg,Published
9,VID9,Melon,https://youtu.be/nTgcp22Id4g?si=N4hzfthLvgoviKO5,mainlogo.jpg,Published
10,VID10,Cucumber,https://www.youtube.com/wa-tch?v=DlT9Lqtjwcg,mainlogo.jpg,Published
11,VID11,Bataw,https://www.youtube.com/watch?v=u8EUCMNYa5A,mainlogo.jpg,Published
12,VID12,Kangkong,https://www.youtube.com/watch?v=p45LpPKa8Uw,mainlogo.jpg,Published
13,VID13,Lettuce,https://www.youtube.com/watch?v=DtWBlKf02To,mainlogo.jpg,Published
14,VID14,Cowpea,https://www.youtube.com/watch?v=FCC24xnetEE,mainlogo.jpg,Published
15,VID15,Bush snap beans,https://youtu.be/-zFmewYJDac?si=NIfr16_WSAiUUkd_,mainlogo.jpg,Published
16,VID16,Bush sitao,https://youtu.be/NPTeX3XNyuY?si=olWvG6x5UgaYxtay,mainlogo.jpg,Published
17,VID17,Amplaya,https://youtu.be/QUH1_myP3ck?si=xwdYp_R6cwyIgSvO,mainlogo.jpg,Published
18,VID18,Onion bulb,https://youtu.be/ZYkG2ta3Ctc?si=MQi71UarU1QvfxkY,mainlogo.jpg,Published
19,VID19,Brocolli,https://youtu.be/j49S6dwurrk?si=juN9f0RQk7IPDp6w,mainlogo.jpg,Published
20,VID20,Upo,https://youtu.be/HfHnH1nbzqo?si=pw5HLLn-cAJQRJx1,mainlogo.jpg,Published
